date,expiry,method,n_grid,n_price_convex_viol,n_price_slope_viol,n_density_negative,n_iv_undefined,n_scored,n_viol,n_viol_observed,n_grid_observed
2022-03-03,2022-06-30,Fengler,61,0,0,0,0,61,0,0,43
2022-03-03,2022-05-26,Fengler,61,0,0,0,0,61,18,0,43
2022-03-03,2022-04-28,Fengler,61,0,0,0,2,59,4,2,43
2022-03-03,2022-03-31,Fengler,61,0,0,0,0,61,0,0,43
2022-03-03,2022-03-24,Fengler,61,0,0,0,10,51,6,1,43
2022-03-03,2022-03-17,Fengler,61,0,0,0,5,56,3,0,43
2022-03-03,2022-03-10,Fengler,61,0,0,0,6,55,1,0,43
2022-03-22,2022-12-29,Fengler,61,0,0,0,3,58,8,0,43
2022-03-22,2022-06-30,Fengler,61,0,0,0,2,59,5,0,43
2022-03-22,2022-05-26,Fengler,61,0,0,0,3,58,10,0,43
2022-03-22,2022-04-28,Fengler,61,0,0,0,6,54,5,0,43
2022-03-22,2022-04-13,Fengler,61,0,0,0,6,54,6,0,43
2022-03-22,2022-04-07,Fengler,61,0,0,0,6,53,2,0,43
2022-03-22,2022-03-31,Fengler,61,0,0,0,0,61,0,0,43
2022-04-07,2022-12-29,Fengler,61,0,0,0,2,59,1,0,43
2022-04-07,2022-06-30,Fengler,61,0,0,0,5,56,0,0,43
2022-04-07,2022-05-26,Fengler,61,0,0,0,5,55,2,0,43
2022-04-07,2022-05-05,Fengler,61,0,0,0,0,61,3,0,43
2022-04-07,2022-04-28,Fengler,61,0,0,0,0,61,0,0,43
2022-04-07,2022-04-21,Fengler,61,0,0,0,0,61,0,0,43
2022-04-27,2022-12-29,Fengler,61,0,0,0,0,61,0,0,43
2022-04-27,2022-06-30,Fengler,61,0,0,0,3,58,0,0,43
2022-04-27,2022-05-26,Fengler,61,0,0,0,0,61,0,0,43
2022-04-27,2022-05-19,Fengler,61,0,0,0,7,54,2,0,43
2022-04-27,2022-05-12,Fengler,61,0,0,0,0,61,0,0,43
2022-04-27,2022-05-05,Fengler,61,0,0,0,0,61,0,0,43
2022-05-16,2022-12-29,Fengler,61,0,0,0,1,60,6,0,43
2022-05-16,2022-07-28,Fengler,61,0,0,0,0,61,5,0,43
2022-05-16,2022-06-30,Fengler,61,0,0,0,3,58,3,0,43
2022-05-16,2022-06-16,Fengler,61,0,0,0,0,61,0,0,43
2022-05-16,2022-06-09,Fengler,61,0,0,0,0,61,5,0,43
2022-05-16,2022-06-02,Fengler,61,0,0,0,4,56,2,0,43
2022-05-16,2022-05-26,Fengler,61,0,0,0,6,54,0,0,43
2022-06-01,2022-12-29,Fengler,61,0,0,0,1,60,2,0,43
2022-06-01,2022-08-25,Fengler,61,0,0,0,2,59,12,0,43
2022-06-01,2022-07-28,Fengler,61,0,0,0,3,58,3,0,43
2022-06-01,2022-06-30,Fengler,61,0,0,0,0,61,0,0,43
2022-06-01,2022-06-23,Fengler,61,0,0,0,0,61,0,0,43
2022-06-01,2022-06-16,Fengler,61,0,0,0,2,59,1,0,43
