date,method,expiry_earlier,expiry_later,n_grid,n_grid_common,n_price_viol,n_price_viol_common,n_scored,n_viol,n_viol_common
2022-01-10,Fengler,2022-01-20,2022-01-27,61,20,0,0,33,0,0
2022-01-10,Fengler,2022-01-27,2022-02-03,61,17,40,0,22,1,0
2022-01-10,Fengler,2022-02-03,2022-02-24,61,17,0,0,22,0,0
2022-01-10,Fengler,2022-02-24,2022-03-31,61,22,0,0,33,0,0
2022-01-10,Fengler,2022-03-31,2022-12-29,61,36,3,0,55,0,0
2022-01-27,Fengler,2022-02-03,2022-02-10,61,23,0,0,42,0,0
2022-01-27,Fengler,2022-02-10,2022-02-17,61,13,43,0,21,3,0
2022-01-27,Fengler,2022-02-17,2022-02-24,61,13,1,0,21,1,0
2022-01-27,Fengler,2022-02-24,2022-03-31,61,24,7,0,38,4,0
2022-01-27,Fengler,2022-03-31,2022-06-30,61,36,11,0,50,3,0
2022-01-27,Fengler,2022-06-30,2022-12-29,61,35,2,0,48,0,0
2022-02-14,Fengler,2022-02-24,2022-03-03,61,19,14,0,30,5,0
2022-02-14,Fengler,2022-03-03,2022-03-10,61,16,4,0,28,2,0
2022-02-14,Fengler,2022-03-10,2022-03-24,61,13,14,0,21,1,0
2022-02-14,Fengler,2022-03-24,2022-03-31,61,15,1,0,24,1,0
2022-02-14,Fengler,2022-03-31,2022-04-28,61,18,30,0,27,3,0
2022-02-14,Fengler,2022-04-28,2022-06-30,61,18,0,0,27,0,0
2022-02-14,Fengler,2022-06-30,2022-12-29,61,33,6,0,44,1,0
2022-03-03,Fengler,2022-03-10,2022-03-17,61,24,0,0,41,0,0
2022-03-03,Fengler,2022-03-17,2022-03-24,61,20,19,1,25,3,1
2022-03-03,Fengler,2022-03-24,2022-03-31,61,21,0,0,25,0,0
2022-03-03,Fengler,2022-03-31,2022-04-28,61,23,25,0,35,2,0
2022-03-03,Fengler,2022-04-28,2022-05-26,61,17,12,0,27,4,0
2022-03-03,Fengler,2022-05-26,2022-06-30,61,17,0,0,27,0,0
2022-03-03,Fengler,2022-06-30,2022-12-29,61,38,6,0,57,2,0
2022-03-22,Fengler,2022-03-31,2022-04-07,61,20,37,0,25,1,0
2022-03-22,Fengler,2022-04-07,2022-04-13,61,16,6,0,21,2,0
2022-03-22,Fengler,2022-04-13,2022-04-28,61,17,0,0,22,0,0
2022-03-22,Fengler,2022-04-28,2022-05-26,61,22,2,0,30,0,0
2022-03-22,Fengler,2022-05-26,2022-06-30,61,22,0,0,30,0,0
2022-03-22,Fengler,2022-06-30,2022-12-29,61,32,5,0,44,1,0
2022-04-07,Fengler,2022-04-21,2022-04-28,61,20,12,0,36,3,0
2022-04-07,Fengler,2022-04-28,2022-05-05,61,13,32,0,20,2,0
2022-04-07,Fengler,2022-05-05,2022-05-26,61,13,1,0,19,0,0
2022-04-07,Fengler,2022-05-26,2022-06-30,61,23,0,0,36,0,0
2022-04-07,Fengler,2022-06-30,2022-12-29,61,36,0,0,50,0,0
2022-04-27,Fengler,2022-05-05,2022-05-12,61,19,0,0,52,0,0
2022-04-27,Fengler,2022-05-12,2022-05-19,61,17,40,0,25,4,0
2022-04-27,Fengler,2022-05-19,2022-05-26,61,17,1,0,25,1,0
2022-04-27,Fengler,2022-05-26,2022-06-30,61,25,11,0,44,6,0
2022-04-27,Fengler,2022-06-30,2022-12-29,61,39,0,0,56,0,0
2022-05-16,Fengler,2022-05-26,2022-06-02,61,24,1,1,38,1,1
2022-05-16,Fengler,2022-06-02,2022-06-09,61,17,13,0,27,1,0
2022-05-16,Fengler,2022-06-09,2022-06-16,61,12,3,0,25,1,0
2022-05-16,Fengler,2022-06-16,2022-06-30,61,12,0,0,25,0,0
2022-05-16,Fengler,2022-06-30,2022-07-28,61,22,15,0,34,3,0
2022-05-16,Fengler,2022-07-28,2022-12-29,61,22,0,0,34,0,0
2022-06-01,Fengler,2022-06-09,2022-06-16,61,15,24,0,24,4,0
2022-06-01,Fengler,2022-06-16,2022-06-23,61,15,0,0,24,0,0
2022-06-01,Fengler,2022-06-23,2022-06-30,61,16,5,0,37,5,0
2022-06-01,Fengler,2022-06-30,2022-07-28,61,20,35,0,28,2,0
2022-06-01,Fengler,2022-07-28,2022-08-25,61,15,8,0,23,3,0
2022-06-01,Fengler,2022-08-25,2022-12-29,61,15,0,0,23,0,0
2022-06-17,Fengler,2022-06-30,2022-07-07,61,19,24,0,38,1,0
2022-06-17,Fengler,2022-07-07,2022-07-14,61,16,4,0,35,1,0
2022-06-17,Fengler,2022-07-14,2022-07-21,61,16,17,0,21,3,0
