method,moneyness,maturity,n,rmse_volpts,mae_volpts,task,scope
ThinPlate,"OTM_call(0.03,0.10]",long(>90d),39,0.3026624065834893,0.18094288444953954,B,fold16_contaminated
ThinPlate,deep_OTM_call(k>0.10),short(<=30d),11,2.5819544557054637,1.8773268637588691,B,fold16_contaminated
ThinPlate,deep_OTM_call(k>0.10),medium(30-90d),19,1.0695977208202172,0.7231356351618835,B,fold16_contaminated
ThinPlate,deep_OTM_call(k>0.10),long(>90d),23,0.4399873269374332,0.34118755669818773,B,fold16_contaminated
CubicSpline,deep_OTM_put(k<=-0.10),short(<=30d),2640,118.88446910326894,12.364535640894237,A,fold17_representative
CubicSpline,deep_OTM_put(k<=-0.10),medium(30-90d),1835,86.79739880732518,8.723050764567315,A,fold17_representative
CubicSpline,deep_OTM_put(k<=-0.10),long(>90d),1147,4.990231425821322,1.0728509300574458,A,fold17_representative
CubicSpline,"OTM_put(-0.10,-0.03]",short(<=30d),9214,9.388037475501227,0.5515514245478413,A,fold17_representative
CubicSpline,"OTM_put(-0.10,-0.03]",medium(30-90d),4196,5.757182208432128,0.36049277086662135,A,fold17_representative
CubicSpline,"OTM_put(-0.10,-0.03]",long(>90d),445,1.8895348190314525,0.3353629254250371,A,fold17_representative
CubicSpline,"ATM(-0.03,0.03]",short(<=30d),12131,0.24322060195574763,0.08621605047578458,A,fold17_representative
CubicSpline,"ATM(-0.03,0.03]",medium(30-90d),4503,2.256617121300276,0.14479364632858663,A,fold17_representative
CubicSpline,"ATM(-0.03,0.03]",long(>90d),33,2.5874219349144068,0.7777112648697889,A,fold17_representative
CubicSpline,"OTM_call(0.03,0.10]",short(<=30d),10006,15.389760947552256,0.6592645947412691,A,fold17_representative
CubicSpline,"OTM_call(0.03,0.10]",medium(30-90d),3862,1.668537547935842,0.3096903235734226,A,fold17_representative
CubicSpline,"OTM_call(0.03,0.10]",long(>90d),466,0.617978418232553,0.24942775472869666,A,fold17_representative
CubicSpline,deep_OTM_call(k>0.10),short(<=30d),1526,57.18451890394241,8.084813773837693,A,fold17_representative
CubicSpline,deep_OTM_call(k>0.10),medium(30-90d),913,903.6934565331767,46.769457780519744,A,fold17_representative
CubicSpline,deep_OTM_call(k>0.10),long(>90d),708,2.454663656723788,0.9256055684660691,A,fold17_representative
SSVI,deep_OTM_put(k<=-0.10),short(<=30d),2640,5.109809278294037,3.3467847333688026,A,fold17_representative
SSVI,deep_OTM_put(k<=-0.10),medium(30-90d),1835,2.486281576938244,1.8754885024716268,A,fold17_representative
SSVI,deep_OTM_put(k<=-0.10),long(>90d),1147,1.450998575505736,1.0191868391182937,A,fold17_representative
SSVI,"OTM_put(-0.10,-0.03]",short(<=30d),9214,3.0708043583421283,2.557378164979838,A,fold17_representative
SSVI,"OTM_put(-0.10,-0.03]",medium(30-90d),4196,1.4832310883328124,1.249131906551796,A,fold17_representative
SSVI,"OTM_put(-0.10,-0.03]",long(>90d),445,1.8011463727150359,0.9808851446366221,A,fold17_representative
SSVI,"ATM(-0.03,0.03]",short(<=30d),12131,1.2721969333026126,0.879261973251597,A,fold17_representative
SSVI,"ATM(-0.03,0.03]",medium(30-90d),4503,0.5687057949232429,0.3878667762275926,A,fold17_representative
SSVI,"ATM(-0.03,0.03]",long(>90d),33,2.12154833382753,1.4892243234322986,A,fold17_representative
SSVI,"OTM_call(0.03,0.10]",short(<=30d),10006,2.084993956597748,1.5703421128975865,A,fold17_representative
SSVI,"OTM_call(0.03,0.10]",medium(30-90d),3862,1.2557277274488023,0.9595393611262635,A,fold17_representative
SSVI,"OTM_call(0.03,0.10]",long(>90d),466,1.7040350125149892,1.410991751637819,A,fold17_representative
SSVI,deep_OTM_call(k>0.10),short(<=30d),1526,6.127365825034753,4.6159978136854445,A,fold17_representative
SSVI,deep_OTM_call(k>0.10),medium(30-90d),913,3.010297035413817,1.8003605537259872,A,fold17_representative
SSVI,deep_OTM_call(k>0.10),long(>90d),708,1.9586067727642522,1.2151933469003124,A,fold17_representative
SVI,deep_OTM_put(k<=-0.10),short(<=30d),2640,7.634410686010801,3.4763915841580526,A,fold17_representative
